frame,t,type,type_name,float0,float1,float2,float3,int0,int1,int2,int3,entityA_idx,entityA_gen,entityB_idx,entityB_gen,label,source
2714,45.2333,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,87,1,63,1,"",""
2740,45.6667,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,87,1,63,1,"",""
2765,46.0833,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,87,1,4294967295,0,"",""
2765,46.0833,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,87,1,4294967295,0,"",""
3165,52.7500,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,86,1,61,1,"",""
3173,52.8833,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,86,1,61,1,"",""
3755,62.5833,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,86,1,65,1,"",""
3988,66.4667,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,86,1,64,1,"",""
3988,66.4667,15,"ChestOpened",0.0000,0.0000,0.0000,0.0000,0,0,0,0,86,1,64,1,"",""
3995,66.5833,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,86,1,64,1,"",""
4245,70.7500,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,86,1,65,1,"",""
4613,76.8833,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,11,0,0,0,86,1,66,1,"Objective1",""
4616,76.9333,18,"ApprehendChannelStart",0.0000,0.0000,0.0000,0.0000,0,0,0,0,88,1,86,1,"","Priest_BT"
4630,77.1667,20,"ApprehendChannelInterrupted",0.0000,0.0000,0.0000,0.0000,3,0,0,0,88,1,86,1,"","Priest_BT"
4638,77.3000,22,"PerceptionContactBegin",0.4000,0.0000,0.0000,0.0000,2,0,0,0,88,1,86,1,"","PerceptionPoll"
4746,79.1000,23,"PerceptionContactEnd",0.0000,0.0000,0.0000,0.0000,2,0,0,0,88,1,86,1,"","PerceptionPoll"
4900,81.6667,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,86,1,63,1,"",""
5010,83.5000,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,86,1,61,1,"",""
5083,84.7167,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,86,1,59,1,"",""
5083,84.7167,17,"ObjectivePlaced",0.0000,0.0000,0.0000,0.0000,0,0,0,0,86,1,59,1,"",""
5090,84.8333,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,86,1,59,1,"",""
5289,88.1500,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,86,1,61,1,"",""
5466,91.1000,7,"VillagerDied",0.0000,0.0000,0.0000,0.0000,0,0,0,0,86,1,4294967295,0,"",""
5466,91.1000,13,"PossessionChanged",0.0000,0.0000,0.0000,0.0000,0,0,0,0,86,1,4294967295,0,"",""
5467,91.1167,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,86,1,61,1,"",""
6125,102.0833,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,12,0,0,0,84,1,67,1,"Objective2",""
6702,111.7000,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,84,1,63,1,"",""
6827,113.7833,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,84,1,61,1,"",""
6905,115.0833,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,84,1,59,1,"",""
6905,115.0833,17,"ObjectivePlaced",0.0000,0.0000,0.0000,0.0000,1,0,0,0,84,1,59,1,"",""
6912,115.2000,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,84,1,59,1,"",""
7516,125.2667,1,"ItemPickup",0.0000,0.0000,0.0000,0.0000,13,0,0,0,84,1,68,1,"Objective3",""
7795,129.9167,5,"InteractionEnd",0.0000,0.0000,0.0000,0.0000,0,0,0,0,84,1,60,1,"",""
7973,132.8833,3,"Interact",0.0000,0.0000,0.0000,0.0000,0,0,0,0,84,1,59,1,"",""
7973,132.8833,8,"Victory",0.0000,0.0000,0.0000,0.0000,0,0,0,0,84,1,59,1,"",""
