Directory,File Count,Total Lines,Code Lines,Comment Lines,Avg Cyclomatic,Avg Cognitive,Avg Maintainability,Total Functions,Total Classes
AI\BehaviorTree,14,2971,2025,409,12.71,21.93,28.27,41,43
AI\Components,2,330,218,51,13.00,19.50,30.96,6,4
AI\Navigation,8,3329,2202,588,37.38,99.25,21.68,18,21
AI\Perception,2,856,594,123,31.50,74.50,16.59,0,9
AI\Squad,6,2689,1960,341,51.33,93.83,20.20,12,15
AI,2,142,79,37,1.00,0.00,46.09,1,0
Android\Callstack,2,188,136,16,8.50,13.50,42.99,1,4
Android\FileAccess,1,102,80,7,7.00,20.00,33.50,4,0
Android\Multithreading,2,173,139,1,2.00,2.00,40.34,0,3
Android\NativeGlue,2,809,446,240,18.50,26.00,22.44,30,38
Android\Vulkan,1,39,29,1,1.00,0.00,47.88,1,0
Android,5,398,280,40,7.60,10.60,47.81,12,2
AssetHandling,24,6919,4261,1549,17.08,33.38,27.49,71,63
Collections,3,770,564,90,20.33,54.33,24.90,40,4
Core\Callstack,2,117,90,6,6.00,12.00,42.59,0,2
Core\Memory,9,1557,1176,136,10.33,20.33,38.92,12,8
Core\Multithreading,2,67,53,1,1.00,0.00,50.34,0,2
Core,12,1234,738,297,5.83,3.92,46.93,14,7
DataStream,2,402,332,19,18.00,41.00,55.93,12,1
DebugVariables,2,403,346,5,8.00,21.50,22.57,14,9
Editor\Panels,17,3285,2375,432,23.94,81.12,39.63,33,10
Editor,14,6359,4302,1087,31.29,62.64,21.74,51,40
EntityComponent\Components,26,8696,5789,1499,27.69,73.19,20.76,106,38
EntityComponent,17,8311,5167,1895,42.65,88.82,25.83,125,76
FileAccess,2,37,19,9,1.00,0.00,74.33,0,0
Flux\AnimatedMeshes,2,332,238,26,11.00,27.50,38.85,0,1
Flux\DeferredShading,2,247,170,31,7.00,4.50,43.19,0,2
Flux\DynamicLights,2,1216,788,236,36.50,94.50,28.14,15,11
Flux,18,3153,2260,457,9.33,12.89,36.19,51,120
Flux\Fog,10,1506,929,320,2.90,4.10,40.39,3,17
Flux\Gizmos,2,1047,690,177,45.00,70.50,17.36,5,6
Flux\HDR,2,1032,748,113,19.00,31.00,17.39,1,5
Flux\HiZ,2,303,209,35,6.50,11.00,36.26,2,2
Flux\IBL,2,903,624,145,25.50,68.00,19.33,5,5
Flux\InstancedMeshes,7,1913,1195,378,16.29,32.14,28.53,14,17
Flux\MeshAnimation,18,8049,5604,1157,39.89,79.78,17.95,84,64
Flux\MeshGeometry,4,1495,1110,169,32.00,57.25,19.28,15,9
Flux\Particles,7,1387,854,256,10.57,18.86,34.23,35,8
Flux\Primitives,2,1514,956,316,37.50,86.00,21.03,5,9
Flux\Quads,2,173,118,9,2.00,2.00,39.91,0,2
Flux\SDFs,2,143,105,3,1.50,1.00,47.39,1,3
Flux\Shadows,2,263,195,9,8.00,14.50,36.82,4,3
Flux\Skybox,2,574,388,84,5.50,9.00,25.08,0,3
Flux\Slang,6,1509,1110,165,27.33,50.00,29.62,8,15
Flux\SSAO,2,352,252,20,3.50,5.00,37.50,0,3
Flux\SSGI,2,471,328,52,6.50,10.00,31.09,0,3
Flux\SSR,2,425,277,71,8.00,11.00,32.34,0,2
Flux\StaticMeshes,2,400,288,35,15.00,52.50,36.61,0,2
Flux\Terrain,5,1626,1034,281,23.40,51.00,27.66,11,16
Flux\Text,2,216,143,22,4.00,7.00,42.15,0,2
Flux\Vegetation,2,849,567,145,22.50,46.00,19.83,3,7
Input,7,961,720,94,9.71,15.57,34.12,4,3
Maths,4,581,366,130,9.00,17.00,31.84,32,3
Physics,5,1944,1359,275,35.00,69.20,23.76,11,23
Prefab,2,428,280,71,15.00,24.50,28.83,3,3
Profiling,2,908,716,45,35.50,80.00,12.61,7,5
SaveData,2,340,214,60,10.00,27.00,34.73,8,1
TaskSystem,2,403,290,37,14.50,27.50,25.41,10,4
UI,15,2904,1982,353,15.87,36.40,30.69,102,21
UnitTests,13,30140,19386,3912,36.85,64.85,17.28,42,20
Vulkan,17,6593,5037,464,28.94,48.24,28.59,68,73
Windows\Callstack,2,163,115,15,6.00,8.50,43.49,0,2
Windows\FileAccess,1,65,51,2,1.00,0.00,39.57,4,0
Windows\Multithreading,2,182,137,7,2.00,2.00,38.23,4,3
Windows\Vulkan,1,31,25,0,1.00,0.00,49.86,1,0
Windows,6,572,428,34,7.50,12.83,49.23,11,2
.,1,9,2,4,1.00,0.00,84.96,0,0
